manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_capacity,body_type,has_warranty,drivetrain,price_usd,is_exchangeable
Subaru,Legacy,mechanical,silver,195000,2006,gasoline,False,3.0,sedan,False,all,8200.0,False
Subaru,Outback,automatic,black,126705,2014,gasoline,False,2.5,universal,False,all,16500.0,True
Subaru,Outback,automatic,other,164153,2008,gasoline,False,2.5,universal,False,all,8500.0,False
Subaru,Impreza,mechanical,blue,143000,2009,gasoline,False,1.5,hatchback,False,front,6450.0,False
Subaru,Outback,mechanical,white,463491,2002,gasoline,False,2.5,universal,False,all,3150.0,False
Subaru,Legacy,mechanical,green,321869,1998,gasoline,False,2.2,universal,False,all,1900.0,False
Subaru,Legacy,mechanical,other,250000,2005,gasoline,False,2.0,sedan,False,all,4899.0,False
Subaru,Forester,mechanical,black,260000,1999,gasoline,False,2.5,universal,False,all,2500.0,False
Subaru,Forester,mechanical,green,300000,1999,gasoline,False,2.0,suv,False,all,1700.0,False
Subaru,Forester,automatic,red,358047,1999,gasoline,False,2.5,universal,False,all,1800.0,True
Subaru,Forester,mechanical,blue,296000,2003,gas,True,2.0,universal,False,all,6150.0,False
Subaru,XV,automatic,orange,183000,2012,gasoline,False,2.0,suv,False,all,12900.0,False
Subaru,Legacy,automatic,red,116000,2010,gasoline,False,2.5,sedan,False,all,7250.0,False
Subaru,Legacy,mechanical,blue,450000,1995,gasoline,False,2.0,universal,False,all,900.0,True
Subaru,Outback,automatic,brown,180000,2008,gasoline,False,2.5,universal,False,all,9400.0,True
Subaru,Forester,mechanical,black,343455,2001,gasoline,False,2.0,universal,False,all,3300.0,True
Subaru,Legacy,automatic,white,202777,2009,gasoline,False,2.5,sedan,False,all,8200.0,True
Subaru,Forester,automatic,black,230000,2001,gas,True,2.5,suv,False,all,4200.0,True
Subaru,Justy,mechanical,red,80000,1992,gasoline,False,1.2,hatchback,False,all,2100.0,True
Subaru,Legacy,automatic,green,408263,1999,gasoline,False,2.5,universal,False,all,1499.0,False
Subaru,Outback,automatic,black,193,2010,gasoline,False,2.5,universal,False,all,9800.0,False
Subaru,Legacy,automatic,silver,300000,1998,gasoline,False,2.5,universal,False,all,2500.0,False
Subaru,Outback,mechanical,green,285000,2001,gasoline,False,2.5,universal,False,all,3650.0,True
Subaru,Impreza,mechanical,red,363500,1994,gasoline,False,2.0,universal,False,front,1400.0,False
Subaru,Legacy,mechanical,silver,127138,2005,gasoline,False,2.5,sedan,False,all,5400.0,False
Subaru,XV,automatic,grey,88000,2014,gasoline,False,2.0,suv,True,all,12950.0,True
Subaru,Forester,automatic,black,128000,2012,gasoline,False,2.0,suv,False,all,15490.0,False
Subaru,Outback,automatic,blue,177000,2010,gasoline,False,2.5,universal,False,all,13500.0,True
Subaru,Forester,mechanical,silver,350000,2000,gasoline,False,2.0,universal,False,all,2000.0,True
Subaru,Forester,mechanical,grey,173000,2005,gasoline,False,2.5,suv,False,all,7500.0,False
Subaru,Forester,automatic,blue,280000,2004,gasoline,False,2.5,suv,False,all,5800.0,False
Subaru,Forester,mechanical,green,270000,1998,gasoline,False,2.5,suv,False,front,2750.0,False
Subaru,Outback,automatic,other,310000,1996,gasoline,False,2.0,universal,False,all,3299.0,True
Subaru,Legacy,mechanical,green,450000,1996,gasoline,False,2.0,universal,False,all,1400.0,True
Subaru,Tribeca,automatic,blue,179000,2008,gasoline,False,3.6,suv,False,all,9900.0,False
Subaru,Forester,automatic,silver,175000,2013,gasoline,False,2.5,universal,False,all,15900.0,False
Subaru,Impreza,mechanical,blue,130000,2008,gasoline,False,2.5,hatchback,False,all,13500.0,False
Subaru,Forester,automatic,silver,305000,1999,gasoline,False,2.5,suv,False,all,3750.0,True
Subaru,Legacy,automatic,silver,294000,1999,gasoline,False,2.0,universal,False,all,3400.0,True
Subaru,Outback,mechanical,violet,353000,2000,gasoline,False,2.5,universal,False,all,4250.0,True
Subaru,Forester,mechanical,black,400000,2003,gasoline,False,2.0,universal,False,all,5500.0,False
Subaru,Impreza,mechanical,green,329786,2001,gasoline,False,1.6,universal,False,all,4100.0,False
Subaru,Impreza,mechanical,red,230000,2003,gasoline,False,2.0,universal,False,all,7000.0,True
Subaru,Forester,mechanical,blue,160000,2010,gasoline,False,2.5,suv,False,all,12600.0,True
Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,False,3.6,suv,False,all,5400.0,False
Subaru,Impreza,automatic,silver,80000,2016,gasoline,False,2.0,sedan,False,all,14500.0,False
Subaru,Legacy,automatic,blue,394289,2002,gasoline,False,2.5,universal,False,all,3900.0,True
Subaru,Outback,automatic,blue,256000,2012,gasoline,False,2.5,universal,False,all,14227.45,False
Subaru,Outback,automatic,silver,160000,2011,gasoline,False,2.5,suv,False,all,17000.0,True
Subaru,Forester,mechanical,black,218000,1997,gasoline,False,2.5,suv,False,all,3750.0,True
Subaru,Forester,automatic,silver,273588,2006,gasoline,False,2.5,universal,False,all,6000.0,True
Subaru,Forester,mechanical,black,103975,2011,gasoline,False,2.5,suv,False,all,15500.0,False
Subaru,Legacy,mechanical,blue,330000,1995,gasoline,False,2.2,sedan,False,all,1900.0,False
Subaru,Impreza,automatic,black,205328,2008,gasoline,False,2.5,hatchback,False,all,6499.0,True
Subaru,Outback,automatic,blue,353624,2001,gasoline,False,3.0,universal,False,all,5250.0,True
Subaru,Justy,mechanical,silver,170000,2008,gasoline,False,1.0,minivan,False,front,5199.0,True
Subaru,Outback,automatic,other,370000,2004,gasoline,False,2.5,universal,False,all,6000.0,False
Subaru,Forester,automatic,black,233000,2000,gasoline,False,2.0,universal,False,all,6800.0,False
Subaru,Impreza,mechanical,green,354056,1998,gasoline,False,2.2,universal,False,all,1900.0,False
Subaru,Forester,automatic,black,160000,2010,gasoline,False,2.5,suv,False,all,8650.0,False
Subaru,Legacy,mechanical,silver,295000,1996,gasoline,False,2.0,universal,False,all,1565.02,False
Subaru,Outback,automatic,grey,100000,2012,gasoline,False,2.5,universal,False,all,16300.0,False
Subaru,Impreza,mechanical,green,180000,1998,gasoline,False,2.0,sedan,False,front,6900.0,True
Subaru,Outback,automatic,green,60000,2001,gasoline,False,2.5,universal,False,all,2900.0,True
Subaru,Legacy,mechanical,silver,185075,2003,gasoline,False,2.5,sedan,False,all,7000.0,False
Subaru,Outback,automatic,blue,405555,2001,gasoline,False,2.5,universal,False,all,4990.0,False
Subaru,Impreza,mechanical,other,185000,2008,gasoline,False,1.5,sedan,False,all,6300.0,False
Subaru,Legacy,automatic,red,152888,2009,gasoline,False,2.5,sedan,False,all,11000.0,False
Subaru,Impreza,mechanical,silver,193000,2009,gasoline,False,1.5,hatchback,False,front,7000.0,True
Subaru,Forester,mechanical,green,197,1999,gasoline,False,2.0,universal,False,all,3000.0,True
Subaru,Forester,automatic,blue,162544,2010,gas,True,2.5,suv,False,all,9700.0,False
Subaru,Forester,mechanical,blue,46671,2017,gasoline,False,2.5,suv,False,all,8790.0,False
Subaru,Outback,automatic,red,56800,2015,gasoline,False,2.5,universal,False,all,23400.0,False
Subaru,Legacy,automatic,black,260000,2007,gasoline,False,3.0,sedan,False,all,6800.0,False
Subaru,Justy,mechanical,black,150000,2010,gasoline,False,1.0,hatchback,False,front,6450.0,True
Subaru,Legacy,automatic,green,334567,1992,gasoline,False,2.2,universal,False,all,1600.0,True
Subaru,Leone,mechanical,blue,350000,1987,gasoline,False,1.8,universal,False,all,1500.0,False
Subaru,Legacy,mechanical,silver,388000,1996,gasoline,False,2.0,universal,False,all,2300.0,False
Subaru,Justy,mechanical,silver,96370,2009,gasoline,False,1.0,hatchback,False,front,5500.0,False
Subaru,Legacy,automatic,grey,300000,2007,gasoline,False,2.0,universal,False,all,5999.0,False
Subaru,Impreza,automatic,white,280000,2007,gasoline,False,2.0,sedan,False,all,9000.0,False
Subaru,WRX,automatic,white,69500,2014,gasoline,False,2.0,sedan,False,all,24900.0,False
Subaru,Outback,automatic,white,237000,2004,gasoline,False,3.0,universal,False,all,6150.0,False
Subaru,Forester,automatic,silver,289740,2001,gas,True,2.5,universal,False,all,4200.0,True
Subaru,Legacy,automatic,silver,164000,2001,gasoline,False,2.0,sedan,False,all,3700.0,False
Subaru,Impreza,automatic,red,280000,1997,gasoline,False,2.0,sedan,False,front,1500.0,False
Subaru,XV,automatic,grey,95000,2012,gasoline,False,2.0,suv,False,all,12999.0,True
Subaru,Impreza,automatic,grey,95000,2012,gasoline,False,2.0,hatchback,False,all,12999.0,True
Subaru,Forester,mechanical,grey,193000,2008,diesel,False,2.0,suv,False,all,9481.65,True
Subaru,Legacy,mechanical,black,225000,2006,gasoline,False,2.0,sedan,False,all,6800.0,False
Subaru,Outback,automatic,silver,306000,2007,gasoline,False,2.5,universal,False,all,7700.0,False
Subaru,Outback,automatic,black,362102,1997,gasoline,False,2.5,universal,False,all,2800.0,True
Subaru,Forester,automatic,white,80467,2015,gasoline,False,2.0,suv,False,all,22850.0,False
Subaru,Forester,automatic,white,300000,1998,gasoline,False,2.5,universal,False,all,4990.0,True
Subaru,Legacy,automatic,silver,270370,2006,gasoline,False,2.5,sedan,False,all,7000.0,False
Subaru,XV,automatic,red,100000,2012,gasoline,False,1.6,suv,False,all,14000.0,False
Subaru,Impreza,mechanical,white,236000,1999,gasoline,False,2.0,universal,False,all,3599.0,False
Subaru,Legacy,automatic,blue,350000,2004,gasoline,False,2.5,sedan,False,all,4500.0,False
Subaru,Outback,automatic,other,370149,1996,gasoline,False,2.0,universal,False,all,3290.0,True
Subaru,Forester,automatic,green,330000,1998,gasoline,False,2.0,universal,False,all,4200.0,False
Subaru,Tribeca,automatic,grey,252000,2007,gasoline,False,3.0,suv,False,all,8200.0,False
Subaru,Legacy,mechanical,other,343444,1996,gasoline,False,2.0,universal,False,front,1800.0,True
Subaru,Legacy,mechanical,green,212000,1994,gasoline,False,2.2,universal,False,all,2000.0,False
Subaru,Outback,automatic,other,50000,2009,gasoline,False,2.5,suv,False,all,14300.0,True
Subaru,Impreza,mechanical,silver,295000,1998,gasoline,False,2.0,sedan,False,all,1400.0,True
Subaru,Forester,automatic,other,116000,2015,gasoline,False,2.0,suv,False,all,18900.0,False
Subaru,Impreza,mechanical,black,182000,2007,gasoline,False,1.5,sedan,False,all,5500.0,False
Subaru,Forester,mechanical,red,226800,2001,gasoline,False,2.5,universal,False,all,3799.0,True
Subaru,Impreza,automatic,white,339572,1997,gasoline,False,2.2,universal,False,all,1600.0,False
Subaru,Tribeca,automatic,other,104000,2012,gasoline,False,3.6,suv,False,all,13500.0,True
Subaru,Outback,automatic,black,187000,2011,gasoline,False,2.5,universal,False,all,12300.0,False
Subaru,Forester,automatic,grey,92300,2012,gas,True,2.5,suv,False,all,14499.0,True
Subaru,Forester,automatic,black,135000,2014,gasoline,False,2.5,suv,False,all,19500.0,False
Subaru,XV,mechanical,blue,76000,2015,diesel,False,2.0,hatchback,False,front,14000.0,True
Subaru,XV,mechanical,grey,72000,2014,gasoline,False,2.0,suv,False,all,14938.82,True
Subaru,Tribeca,automatic,blue,35000,2006,gasoline,False,3.0,suv,False,all,6600.0,False
Subaru,Outback,automatic,blue,170000,2010,gasoline,False,2.5,universal,False,all,11550.0,True
Subaru,Forester,mechanical,black,364000,2008,gasoline,False,2.0,universal,False,all,9050.0,True
Subaru,XV,automatic,grey,25480,2014,gasoline,False,1.6,hatchback,False,all,19499.0,True
Subaru,Legacy,mechanical,black,144841,2009,gasoline,False,2.5,sedan,False,all,10500.0,True
Subaru,Legacy,automatic,silver,280000,2004,gasoline,False,2.5,universal,False,all,2800.0,False
Subaru,Outback,automatic,grey,187000,2010,gasoline,False,2.5,universal,False,all,11650.0,True
Subaru,Forester,automatic,other,45250,2016,gasoline,False,2.5,suv,False,all,28950.0,False
Subaru,Forester,automatic,other,80467,2016,gasoline,False,2.5,suv,False,all,27950.0,False
Subaru,Tribeca,automatic,grey,145000,2007,gasoline,False,3.6,suv,False,all,10750.0,False
Subaru,Legacy,automatic,violet,333134,1998,gasoline,False,2.5,sedan,False,all,1800.0,True
Subaru,Outback,automatic,white,175000,2011,gasoline,False,2.5,universal,False,all,12200.0,False
Subaru,Forester,mechanical,black,170000,1999,gasoline,False,2.0,suv,False,all,7000.0,False
Subaru,Impreza,automatic,blue,180000,2007,gasoline,False,2.0,hatchback,False,all,6650.0,False
Subaru,Outback,mechanical,other,292901,2004,gasoline,False,2.5,universal,False,all,7100.0,False
Subaru,Outback,automatic,silver,380000,2005,gasoline,False,2.5,universal,False,all,7000.0,False
Subaru,Outback,automatic,other,328000,2000,gasoline,False,2.5,universal,False,all,4000.0,False
Subaru,Legacy,mechanical,silver,235000,2007,gasoline,False,2.0,sedan,False,all,7100.0,False
Subaru,Legacy,mechanical,green,26500,1994,gasoline,False,1.8,universal,False,all,1896.99,False
Subaru,Legacy,mechanical,blue,273588,2000,gasoline,False,2.5,universal,False,all,2950.0,True
Subaru,Forester,mechanical,silver,221100,2006,gasoline,False,2.5,sedan,False,all,5500.0,False
Subaru,Outback,automatic,black,198242,2005,gasoline,False,2.5,universal,False,all,6800.0,False
Subaru,Outback,mechanical,blue,263105,2005,gasoline,False,2.5,universal,False,all,7000.0,True
Subaru,Forester,automatic,silver,109000,2014,gasoline,False,2.5,universal,False,all,17000.0,False
Subaru,Outback,mechanical,black,350000,2005,gasoline,False,2.5,universal,False,all,6200.0,True
Subaru,Legacy,automatic,green,200000,1998,gas,True,1.8,universal,False,all,1950.0,False
Subaru,Forester,automatic,black,193121,2010,gasoline,False,2.5,suv,False,all,10499.0,True
Subaru,Forester,automatic,other,241402,2001,gasoline,False,2.5,universal,False,all,4000.0,True
Subaru,Legacy,mechanical,green,250000,1997,gasoline,False,2.0,universal,False,all,2300.0,True
Subaru,Legacy,automatic,blue,321869,1998,gasoline,False,2.2,sedan,False,all,2500.0,False
Subaru,Legacy,mechanical,silver,239065,2005,gas,True,2.5,universal,False,all,6900.0,True
Subaru,Legacy,mechanical,silver,25000,1994,gasoline,False,2.0,universal,False,front,800.0,True
Subaru,Legacy,automatic,white,185000,2010,gasoline,False,2.5,sedan,False,all,11990.0,False
Subaru,Outback,automatic,blue,350000,2002,gasoline,False,2.5,universal,False,all,4000.0,False
Subaru,Forester,automatic,black,198000,2008,gasoline,False,2.5,suv,False,all,10150.0,False
Subaru,Legacy,automatic,black,205000,2006,gasoline,False,2.0,sedan,False,all,6200.0,False
Subaru,Tribeca,automatic,grey,154000,2008,gasoline,False,3.6,suv,False,all,8900.0,False
Subaru,Forester,automatic,white,225308,2008,gasoline,False,2.5,suv,False,all,11000.0,False
Subaru,Libero,mechanical,green,178900,1992,gasoline,False,1.2,minibus,False,all,2134.12,False
Subaru,Forester,automatic,red,176000,2012,gasoline,False,2.0,suv,False,all,11300.0,False
Subaru,Outback,automatic,black,240000,2012,gasoline,False,2.5,universal,False,all,15500.0,False
Subaru,Legacy,automatic,silver,325000,2003,gasoline,False,2.0,sedan,False,all,4650.0,True
Subaru,Tribeca,automatic,white,140000,2007,gasoline,False,3.6,suv,False,all,10700.0,False
Subaru,Legacy,automatic,blue,121000,2008,gasoline,False,2.5,sedan,False,all,10300.0,True
Subaru,Outback,automatic,green,347000,2001,gasoline,False,3.0,universal,False,all,3950.0,False
Subaru,Justy,mechanical,black,122000,2009,gasoline,False,1.0,hatchback,False,front,6200.0,False
Subaru,Impreza,automatic,other,289682,2002,gasoline,False,2.5,universal,False,all,3000.0,False
Subaru,Impreza,mechanical,white,98000,2012,gasoline,False,2.5,sedan,False,all,14500.0,False
Subaru,XV,automatic,silver,93342,2012,gasoline,False,2.0,suv,False,all,13800.0,False
Subaru,Outback,automatic,other,52000,2015,gasoline,False,2.5,suv,False,all,35500.0,False
Subaru,Forester,automatic,silver,199500,2007,gasoline,False,2.5,suv,False,all,7300.0,False
Subaru,Tribeca,automatic,grey,160934,2011,gas,True,3.6,suv,False,all,14000.0,True
Subaru,Forester,mechanical,green,344400,1997,gasoline,False,2.5,suv,False,all,3414.59,True
Subaru,Impreza,mechanical,blue,155000,2005,gasoline,False,2.0,sedan,False,all,9800.0,False
Subaru,Impreza,mechanical,blue,97000,2005,gasoline,False,2.0,sedan,False,all,8200.0,False
Subaru,Legacy,mechanical,grey,222089,2008,gasoline,False,2.5,sedan,False,all,10100.0,False
Subaru,Impreza,mechanical,black,190000,2006,gasoline,False,2.5,sedan,False,all,11500.0,False
Subaru,Outback,automatic,other,13000,2018,gasoline,False,2.5,universal,False,all,27000.0,False
Subaru,Legacy,mechanical,red,280000,1990,gasoline,False,2.0,sedan,False,all,1500.0,False
Subaru,Forester,automatic,black,150200,2008,gasoline,False,2.5,suv,False,all,8999.0,False
Subaru,Forester,automatic,green,228527,1999,gasoline,False,2.5,universal,False,all,4000.0,False
Subaru,Outback,automatic,silver,180000,2005,gasoline,False,2.5,universal,False,all,6500.0,False
Subaru,Legacy,mechanical,black,350000,1993,gas,True,2.0,sedan,False,front,1000.0,False
Subaru,Outback,mechanical,blue,449007,2001,gasoline,False,2.5,universal,False,all,2500.0,False
Subaru,Outback,automatic,black,241402,2010,gasoline,False,2.5,universal,False,all,13400.0,False
Subaru,Forester,mechanical,blue,453024,2001,gasoline,False,2.5,universal,False,all,3000.0,False
Subaru,Outback,automatic,black,237000,2005,gasoline,False,2.5,universal,False,all,7000.0,False
Subaru,Legacy,automatic,blue,390000,1997,gasoline,False,2.5,universal,False,all,2300.0,False
Subaru,Forester,automatic,grey,305775,2007,gasoline,False,2.5,universal,False,all,9600.0,False
Subaru,Forester,mechanical,red,518209,1999,gasoline,False,2.5,universal,False,all,3500.0,True
Subaru,Impreza,automatic,silver,287000,2003,gasoline,False,2.0,universal,False,all,3400.0,False
Subaru,Forester,mechanical,silver,325000,2006,gas,True,2.0,suv,False,all,6800.0,False
Subaru,Forester,automatic,black,390000,2002,gasoline,False,2.5,sedan,False,all,4900.0,False
Subaru,Libero,mechanical,white,300000,1992,gasoline,False,1.2,minivan,False,all,800.0,False
Subaru,Outback,automatic,black,500000,2001,gasoline,False,2.5,universal,False,all,3777.0,False
Subaru,Legacy,mechanical,green,250000,2004,gasoline,False,2.0,sedan,False,all,4700.0,True
Subaru,Forester,automatic,blue,179000,2000,gasoline,False,2.5,universal,False,all,3600.0,False
Subaru,Legacy,automatic,grey,999999,1991,gasoline,False,2.2,universal,False,all,400.0,False
Subaru,Forester,mechanical,green,270000,2008,diesel,False,2.0,suv,False,all,10200.0,False
Subaru,XV,automatic,green,200000,2014,gasoline,False,2.0,hatchback,False,all,19500.0,False
Subaru,Impreza,automatic,green,465000,1998,gas,True,2.0,universal,False,all,3000.0,False
Subaru,Outback,automatic,black,298533,2008,gasoline,False,2.5,universal,False,all,7900.0,True
Subaru,Legacy,automatic,silver,300000,1990,gasoline,False,2.2,universal,False,all,1150.0,False
Subaru,Impreza,automatic,grey,138404,2007,gasoline,False,2.5,sedan,False,all,6500.0,False
Subaru,Tribeca,automatic,silver,140000,2008,gasoline,False,3.6,suv,False,all,10100.0,False
Subaru,Forester,mechanical,green,276807,1998,gasoline,False,2.5,suv,False,all,2750.0,False
Subaru,Forester,automatic,white,176000,2011,gasoline,False,2.0,universal,False,all,11100.0,False
Subaru,Legacy,mechanical,blue,140000,2000,gasoline,False,2.0,sedan,False,all,3500.0,False
Subaru,Forester,automatic,blue,160000,2012,gasoline,False,2.5,suv,False,all,12350.0,False
Subaru,Forester,automatic,blue,595457,2001,gas,True,2.5,suv,False,all,2700.0,False
Subaru,Impreza,mechanical,silver,58270,2009,gasoline,False,1.5,hatchback,False,front,6750.0,True
Subaru,Impreza,automatic,silver,222000,2008,gasoline,False,2.0,hatchback,False,all,8700.0,False
Subaru,Impreza,mechanical,blue,172000,2006,gasoline,False,2.0,sedan,False,all,11000.0,False
Subaru,Impreza,automatic,silver,274000,2006,gasoline,False,2.0,sedan,False,all,11500.0,False
Subaru,Legacy,mechanical,blue,329916,1999,gasoline,False,2.2,universal,False,all,2700.0,False
Subaru,Legacy,automatic,white,260000,1999,gasoline,False,2.5,sedan,False,all,3400.0,True
Subaru,Outback,mechanical,black,234000,2009,diesel,False,2.0,universal,False,all,9950.0,False
Subaru,Legacy,automatic,other,280000,2004,gasoline,False,3.0,sedan,False,all,8500.0,False
Subaru,Tribeca,automatic,blue,300947,2006,gasoline,False,3.0,suv,False,all,5500.0,False
Subaru,Forester,mechanical,white,280000,1998,gasoline,False,2.0,suv,False,all,4850.0,False
Subaru,Forester,automatic,blue,156000,2008,gasoline,False,2.0,suv,False,all,9150.0,False
Subaru,Outback,mechanical,other,200000,2004,gasoline,False,2.5,universal,False,all,7200.0,False
Subaru,Impreza,mechanical,red,368000,1994,gasoline,False,1.6,sedan,False,all,948.5,False
Subaru,Outback,automatic,silver,299000,2006,gasoline,False,2.5,universal,False,all,7000.0,False
Subaru,Impreza,mechanical,blue,164000,2002,gasoline,False,2.0,sedan,False,all,4742.47,False
Subaru,Forester,automatic,white,140013,2008,gasoline,False,2.5,suv,False,all,11000.0,False
Subaru,Outback,automatic,blue,232000,2010,gasoline,False,2.5,universal,False,all,14000.0,False
Subaru,Tribeca,automatic,grey,257495,2007,gasoline,False,3.6,suv,False,all,9900.0,False
Subaru,Forester,automatic,silver,120000,2009,gasoline,False,2.5,suv,False,all,12800.0,False
Subaru,Outback,automatic,green,304166,1998,gasoline,False,2.5,universal,False,all,1850.0,False
Subaru,Forester,automatic,green,257500,2000,gasoline,False,2.5,universal,False,all,3000.0,False
Subaru,Outback,automatic,other,145000,1999,gasoline,False,2.0,universal,False,all,3700.0,False
Subaru,Forester,automatic,green,265000,2004,gas,True,2.5,universal,False,all,6700.0,False
Subaru,Impreza,automatic,grey,142000,2010,gasoline,False,2.0,hatchback,False,all,9777.0,False
Subaru,Outback,automatic,green,260000,2002,gasoline,False,2.5,universal,False,all,4700.0,False
Subaru,Tribeca,automatic,grey,241402,2008,gasoline,False,3.6,suv,False,all,10000.0,True
Subaru,Outback,automatic,black,289682,2004,gas,True,2.5,universal,False,all,7113.72,False
Subaru,Legacy,mechanical,red,212997,2001,gas,True,2.0,sedan,False,all,3800.0,False
Subaru,Forester,automatic,grey,79000,2015,gasoline,False,2.0,suv,False,all,19600.0,False
Subaru,Legacy,automatic,silver,386243,2002,gasoline,False,2.5,sedan,False,all,4300.0,True
Subaru,Tribeca,automatic,black,237000,2006,gasoline,False,3.0,suv,False,all,8600.0,False
Subaru,Impreza,automatic,silver,215000,2005,gasoline,False,2.0,sedan,False,all,3800.0,True
Subaru,Impreza,mechanical,blue,190000,2006,gasoline,False,2.0,sedan,False,all,7100.0,False
Subaru,Forester,automatic,other,170000,2008,gasoline,False,2.0,suv,False,all,9000.0,True
Subaru,Legacy,mechanical,black,150000,2004,gasoline,False,3.0,sedan,False,all,9000.0,True
Subaru,Forester,automatic,violet,275471,2001,gasoline,False,2.5,universal,False,all,4000.0,True
Subaru,Legacy,automatic,white,225308,2011,gasoline,False,2.5,sedan,False,all,12300.0,True
Subaru,Outback,automatic,green,233355,2010,gasoline,False,2.5,suv,False,all,13500.0,False
